0 0.06 0.04 0.08 0.06
2e-08 0.06 0.04 0.06 0.04
4e-08 0.12 0.04 0.06 0.04
6e-08 0.12 0.06 0.06 0.04
8e-08 0.1 0.06 0.04 0.02
1e-07 0.14 0.06 0.06 0.02
1.2e-07 0.1 0.04 0.08 0.06
1.4e-07 0.06 0.04 0.06 0.04
1.6e-07 0.1 0.06 0.04 0.04
1.8e-07 0.14 0.06 0.06 0.04
2e-07 0.1 0.02 0.08 0.04
2.2e-07 0.08 0.02 0.04 0.02
2.4e-07 0.08 0.04 0.06 0.04
2.6e-07 0.1 0.04 0.04 0.02
2.8e-07 0.1 0.04 0.06 0.02
3e-07 0.12 0.06 0.08 0.04
3.2e-07 0.1 0.04 0.04 0.02
3.4e-07 0.12 0.06 0.06 0.02
3.6e-07 0.08 0.04 0.06 0.04
3.8e-07 0.1 0.06 0.06 0.04
4e-07 0.06 0.04 0.06 0.04
4.2e-07 0.12 0.06 0.06 0.02
4.4e-07 0.08 0.02 0.04 0.04
4.6e-07 0.08 0.06 0.06 0.04
4.8e-07 0.08 0.04 0.04 0.02
5e-07 0.1 0.04 0.06 0.04
5.2e-07 0.12 0.04 0.06 0.04
5.4e-07 0.06 0.06 0.06 0.02
5.6e-07 0.12 0.04 0.06 0.04
5.8e-07 0.1 0.04 0.1 0.02
6e-07 0.12 0.04 0.06 0.04
6.2e-07 0.12 0.08 0.06 0.06
6.4e-07 0.12 0.04 0.06 0.04
6.6e-07 0.12 0.04 0.06 0.02
6.8e-07 0.1 0.04 0.06 0.04
7e-07 0.08 0.04 0.08 0.04
7.2e-07 0.1 0.04 0.06 0.04
7.4e-07 0.08 0.04 0.06 0.04
7.6e-07 0.08 0.06 0.04 0.04
7.8e-07 0.1 0.04 0.04 0.02
8e-07 0.08 0.08 0.06 0.04
8.2e-07 0.12 0.06 0.06 0.04
8.4e-07 0.08 0.04 0.06 0.04
8.6e-07 0.12 0.04 0.04 0.04
8.8e-07 0.1 0.04 0.06 0.04
9e-07 0.12 0.02 0.04 0.04
9.2e-07 0.08 0.04 0.04 0.06
9.4e-07 0.08 0.04 0.06 0.04
9.6e-07 0.1 0.04 0.06 0.04
9.8e-07 0.1 0.04 0.06 0.02
1e-06 0.08 0.04 0.08 0.02
1.02e-06 0.1 0.04 0.04 0.04
1.04e-06 0.08 0.06 0.08 0.02
1.06e-06 0.08 0.04 0.06 0.04
1.08e-06 0.08 0.04 0.04 0.06
1.1e-06 0.08 0.04 0.06 0.04
1.12e-06 0.1 0.04 0.06 0.04
1.14e-06 0.12 0.02 0.06 0.04
1.16e-06 0.12 0.04 0.06 0.04
1.18e-06 0.12 0.04 0.06 0.02
1.2e-06 0.08 0.02 0.06 0.02
1.22e-06 0.08 0.04 0.08 0.02
1.24e-06 0.08 0.04 0.04 0.06
1.26e-06 0.1 0.06 0.06 0.02
1.28e-06 0.08 0.04 0.06 0.04
1.3e-06 0.08 0.06 0.06 0.04
1.32e-06 0.1 0.04 0.04 0.04
1.34e-06 0.08 0.06 0.06 0.02
1.36e-06 0.08 0.04 0.06 0.04
1.38e-06 0.08 0.06 0.06 0
1.4e-06 0.08 0.06 0.06 0.04
1.42e-06 0.06 0.06 0.06 0.02
1.44e-06 0.08 0.04 0.06 0.04
1.46e-06 0.06 0.04 0.06 0.02
1.48e-06 0.12 0.02 0.06 0.06
1.5e-06 0.08 0.04 0.04 0.04
1.52e-06 0.1 0.06 0.06 0.04
1.54e-06 0.1 0.06 0.06 0.04
1.56e-06 0.1 0.04 0.06 0.02
1.58e-06 0.12 0.04 0.06 0.02
1.6e-06 0.08 0.04 0.04 0.04
1.62e-06 0.08 0.06 0.06 0.04
1.64e-06 0.08 0.04 0.06 0.04
1.66e-06 0.1 0.04 0.04 0.06
1.68e-06 0.08 0.04 0.06 0.02
